"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R3","33","Top","RES_0805","26.7000","63.3508","0","Resistor SMD 0805"
"J10","2 PIN","Top","Header_2_PIN","59.0550","14.5700","90",""
"J21","TSW-102-07-L-S","Top","TSW-102-XX-YY-S","12.9500","5.5650","180","Connector"
"D7","1N5819HW-7-F","Top","SOD3716X125N","19.6950","12.8400","90","Diode"
"J13","629105150521","Top","629105150521","58.4500","78.7500","90","USB Connector Type Micro B 2.0 SMD"
"U6","BMP388","Top","PQFN50P200X200X80-10N","48.2030","35.2570","270","P-Sensor SPI I2C 1, 25 Bar SMD"
"U5","BMI088","Top","BMI088","36.3000","33.8050","-90","Inertial Measurement Unit IMU 6-Axis LGA"
"U4","BMI088","Top","BMI088","25.5750","33.5631","-90","Inertial Measurement Unit IMU 6-Axis LGA"
"U3","NEO-M9N-00B","Top","XCVR_NEO-M9N-00B","30.0000","80.5200","180","series RF Receiver BeiDou, Galileo, GLONASS, GNSS, GPS - -167dBm - - Module"
"U2","DEV-16771","Top","MODULE_DEV-16771","31.5100","52.3600","180","RT1062 Teensy 4.1 series ARM® Cortex®-M7 MPU Embedded Evaluation Board"
"R26","1kohm","Top","RES_0805","18.8500","63.3508","180","Resistor SMD 0805"
"R25","3.3k","Top","RES_0805","52.5398","86.1000","180","Resistor SMD 0805"
"R24","3kohm","Top","RES_0805","15.0688","63.3508","180","Resistor SMD 0805"
"R23","10k","Top","RES_0805","40.9500","86.1000","0","Resistor SMD 0805"
"R22","27k","Top","RES_0805","48.7585","86.1000","180","Resistor SMD 0805"
"R21","220k","Top","RES_0805","44.9773","86.1000","180","Resistor SMD 0805"
"R20","470ohm","Top","RES_0805","13.4620","22.9870","90","Resistor SMD 0805"
"R19","470ohm","Top","RES_0805","50.1150","23.1000","90","Resistor SMD 0805"
"R18","65ohm 0805","Top","RES_0805","45.0850","63.9858","270","Resistor SMD 0805"
"R16","100ohm 0805","Top","RES_0805","48.7300","63.9858","270","Resistor SMD 0805"
"R15","65ohm 0805","Top","RES_0805","52.4700","63.9858","270","Resistor SMD 0805"
"R14","4.7kOhm","Top","RES_0805","47.7900","38.6750","90","Resistor SMD 0805"
"R13","4.7kOhm(0805)","Top","RES_0805","50.5500","38.7000","90","Resistor SMD 0805"
"R12","4.7kOhm(0805)","Top","RES_0805","41.2250","29.6700","0","Resistor SMD 0805"
"R11","4.7kOhm(0805)","Top","RES_0805","41.1860","33.0136","0","Resistor SMD 0805"
